name,identifier,total,mujer,hombre,total_esta,total_otra,total_fuera,mujer_esta,mujer_otra,mujer_fuera,hombre_esta,hombre_otra,hombre_fuera
entre rios,departamento Feliciano,22,27,22,22,37,52,27,32,27,22,37,52
entre rios,departamento Gualeguay,27,27,27,27,42,27,27,37,32,27,42,27
entre rios,departamento Gualeguaychú,42,42,42,42,42,52,42,42,42,42,42,52
entre rios,departamento Islas del Ibicuy,27,27,22,22,27,52,27,27,52,22,32,37
entre rios,departamento La Paz,22,27,22,22,32,32,27,37,32,22,32,32
entre rios,departamento Nogoyá,32,32,27,32,42,37,32,42,62,27,32,77
entre rios,departamento Paraná,22,32,22,22,42,37,22,42,37,22,42,32
entre rios,departamento San Salvador,27,32,27,27,32,27,22,42,27,27,27,47
entre rios,departamento Tala,27,32,27,22,37,52,22,32,52,27,37,27
entre rios,departamento Uruguay,22,22,22,22,37,37,22,37,22,22,32,37
entre rios,departamento Victoria,32,37,32,22,42,37,22,42,37,22,47,27
entre rios,departamento Villaguay,22,22,22,22,27,27,22,22,27,22,37,52
formosa,departamento Bermejo,22,22,22,22,42,52,22,42,52,22,42,47
formosa,departamento Formosa,27,27,27,27,42,72,27,42,67,27,42,72
formosa,departamento Laishi,22,22,22,22,47,77,22,42,37,22,47,77
formosa,departamento Matacos,27,27,27,27,37,37,27,37,37,27,37,57
formosa,departamento Patiño,22,27,22,22,27,37,22,27,32,22,32,37
formosa,departamento Pilagás,27,27,22,27,27,77,27,22,67,22,27,72
formosa,departamento Pilcomayo,27,27,22,22,42,72,27,42,57,22,42,72
formosa,departamento Pirané,27,22,27,22,32,72,22,32,72,27,67,77
formosa,departamento Ramón Lista,22,22,22,22,42,32,22,42,32,22,22,32
jujuy,departamento Cochinoca,22,22,22,22,22,22,22,22,22,22,22,22
jujuy,departamento Doctor Manuel Belgrano,27,27,27,27,42,57,27,42,57,27,42,42
jujuy,departamento El Carmen,22,22,22,22,22,67,22,27,67,22,22,67
jujuy,departamento Humahuaca,27,22,27,27,27,37,27,22,32,27,27,37
jujuy,departamento Ledesma,22,27,22,22,27,72,22,27,77,22,42,72
jujuy,departamento Palpalá,42,42,22,42,47,72,42,47,72,22,47,77
jujuy,departamento Rinconada,22,32,22,22,32,72,22,32,72,22,27,37
jujuy,departamento San Antonio,42,42,42,42,42,57,42,42,57,42,52,57
jujuy,departamento San Pedro,27,27,27,27,27,77,27,27,77,27,22,67
jujuy,departamento Santa Bárbara,27,27,22,22,52,62,27,52,57,22,52,62
jujuy,departamento Santa Catalina,22,22,22,22,22,47,22,22,27,22,22,62
jujuy,departamento Susques,22,22,22,22,22,52,22,22,22,22,22,52
jujuy,departamento Tilcara,27,27,22,22,42,37,27,37,37,22,42,37
jujuy,departamento Tumbaya,22,22,27,22,27,22,22,27,22,22,27,42
jujuy,departamento Valle Grande,22,27,22,27,42,22,27,42,22,22,22,22
jujuy,departamento Yavi,22,22,22,22,37,42,22,37,42,22,22,42
la pampa,departamento Atreucó,32,37,32,32,62,37,32,37,37,32,57,27
la pampa,departamento Caleu Caleu,32,37,32,37,32,62,37,42,62,22,32,82
la pampa,departamento Capital,32,32,32,32,42,67,27,42,37,32,42,67
la pampa,departamento Catriló,32,32,27,27,42,67,22,42,67,27,42,32
la pampa,departamento Chalileo,27,27,27,27,47,42,27,47,22,27,42,42
la pampa,departamento Chapaleufú,42,37,42,32,42,22,32,42,32,22,42,22
la pampa,departamento Chical Co,27,37,27,32,37,42,32,27,42,27,47,0
la pampa,departamento Conhelo,32,32,32,32,47,37,32,47,37,32,42,67
la pampa,departamento Curacó,32,32,37,32,37,37,32,27,57,27,37,27
la pampa,departamento Guatraché,42,42,37,22,42,42,22,42,42,22,47,37
la pampa,departamento Hucal,42,42,42,42,47,37,37,47,37,32,42,77
la pampa,departamento Lihuel Calel,32,32,32,32,52,42,52,32,32,32,52,22
la pampa,departamento Limay Mahuida,37,32,37,32,47,72,32,32,0,37,47,72
la pampa,departamento Loventué,27,27,32,27,42,42,27,42,42,32,47,67
la pampa,departamento Maracó,27,32,27,27,42,32,27,42,32,27,42,47
la pampa,departamento Puelén,32,32,32,27,32,42,27,32,62,27,42,42
la pampa,departamento Quemú Quemú,42,42,32,32,42,42,27,42,42,32,47,67
la pampa,departamento Rancul,32,37,32,32,42,42,32,42,42,32,47,47
la pampa,departamento Realicó,32,32,32,32,47,32,27,47,37,32,57,32
la pampa,departamento Toay,42,37,42,37,42,57,37,42,52,42,42,32
la pampa,departamento Trenel,32,32,32,32,47,42,32,47,37,27,42,42
la pampa,departamento Utracán,32,32,32,32,32,32,32,32,32,32,32,32
la rioja,departamento Arauco,27,27,27,27,42,42,27,37,42,27,47,57
la rioja,departamento Ángel Vicente Peñaloza,22,22,22,22,42,27,22,42,27,22,57,27
la rioja,departamento Capital,27,27,27,27,42,22,27,42,22,27,42,22
la rioja,departamento Castro Barros,27,27,32,27,52,37,27,52,37,32,42,32
la rioja,departamento Chamical,27,27,27,27,47,37,27,37,37,27,47,67
la rioja,departamento Chilecito,27,27,27,27,42,32,27,42,42,27,42,32
la rioja,departamento Famatina,27,27,27,27,42,42,27,52,37,27,42,32
la rioja,departamento General Belgrano,27,27,27,27,47,37,27,32,37,27,47,37
la rioja,departamento General Felipe Varela,27,27,32,27,42,42,27,42,42,27,32,47
la rioja,departamento General Juan Facundo Quiroga,27,27,27,27,67,32,27,27,32,27,67,32
la rioja,departamento General Lamadrid,32,32,27,27,47,47,27,47,47,32,47,42
la rioja,departamento General Ortiz de Ocampo,27,27,27,27,27,42,27,27,27,22,32,42
la rioja,departamento General San Martín,27,27,27,27,37,52,27,52,52,22,27,27
la rioja,departamento Independencia,22,22,42,22,47,57,22,27,57,22,57,27
la rioja,departamento Rosario Vera Peñaloza,27,27,27,27,32,22,27,32,22,27,32,22
la rioja,departamento San Blas de los Sauces,27,27,32,27,37,32,27,42,22,22,37,32
la rioja,departamento Sanagasta,27,27,22,27,42,37,27,37,37,22,42,72
la rioja,departamento Vinchina,27,27,27,27,42,72,27,42,27,27,42,72
mendoza,departamento Capital,32,32,32,32,32,37,32,32,52,32,32,32
mendoza,departamento General Alvear,27,32,27,27,42,72,32,42,72,27,42,77
mendoza,departamento Godoy Cruz,32,32,32,32,42,57,32,72,72,32,42,52
mendoza,departamento Guaymallén,27,27,27,27,47,47,27,42,52,22,47,47
mendoza,departamento Junín,27,27,22,27,67,57,27,67,57,22,42,67
mendoza,departamento La Paz,27,27,27,27,42,32,27,62,32,27,32,37
mendoza,departamento Las Heras,27,27,27,27,47,52,27,67,52,22,42,52
mendoza,departamento Lavalle,27,27,27,27,42,47,22,42,47,27,42,47
mendoza,departamento Luján de Cuyo,22,22,22,22,42,42,22,42,42,22,42,37
mendoza,departamento Maipú,27,27,22,22,42,42,27,37,42,22,42,42
mendoza,departamento Malargüe,27,27,32,27,42,32,27,42,32,27,42,37
mendoza,departamento Rivadavia,27,27,27,27,67,42,27,67,42,27,27,47
mendoza,departamento San Carlos,27,22,27,22,42,42,22,42,42,27,42,27
mendoza,departamento San Martín,27,27,27,27,67,32,27,62,52,27,67,32
mendoza,departamento San Rafael,22,22,22,22,42,72,22,37,72,22,42,72
mendoza,departamento Santa Rosa,27,27,27,27,67,52,22,27,52,27,57,47
mendoza,departamento Tunuyán,27,27,27,27,32,42,27,32,42,22,42,47
mendoza,departamento Tupungato,27,27,22,22,27,37,27,27,42,22,37,32
misiones,departamento Apóstoles,22,22,22,22,32,37,22,27,37,22,32,32
misiones,departamento Cainguás,22,22,22,22,22,72,22,22,67,22,22,57
misiones,departamento Candelaria,22,22,22,22,42,37,22,42,37,22,42,42
misiones,departamento Capital,22,22,22,22,42,67,22,42,67,22,42,67
misiones,departamento Concepción,22,22,22,22,37,72,22,32,57,22,37,72
misiones,departamento Eldorado,27,27,27,27,27,72,27,42,72,27,27,72
misiones,departamento General Manuel Belgrano,22,27,22,22,37,62,27,37,52,22,37,62
misiones,departamento Guaraní,22,22,22,22,37,72,22,22,72,22,37,72
misiones,departamento Iguazú,27,27,27,27,37,37,27,37,37,27,42,37
misiones,departamento Leandro N. alem,22,22,22,22,42,62,22,42,62,22,22,62
misiones,departamento Libertador General San Martín,22,27,22,22,32,77,27,32,77,22,32,72
misiones,departamento Montecarlo,22,27,22,22,22,67,27,27,32,22,22,72
misiones,departamento Oberá,22,22,22,22,22,67,22,22,77,22,22,72
misiones,departamento San Ignacio,22,22,22,22,32,72,22,32,67,22,32,72
misiones,departamento San Javier,22,22,22,22,32,72,22,27,77,22,32,67
misiones,departamento San Pedro,22,22,22,22,22,67,22,27,67,22,22,67
misiones,departamento 25 de Mayo,22,27,22,22,22,72,27,22,72,22,27,67
neuquen,departamento Aluminé,37,37,27,27,32,62,37,37,57,27,32,62
neuquen,departamento Añelo,27,27,27,27,27,57,27,27,57,22,27,57
neuquen,departamento Catán Lil,32,32,37,32,32,67,32,32,77,37,32,67
neuquen,departamento Chos Malal,32,32,32,32,32,62,32,32,52,32,32,62
neuquen,departamento Collón Curá,27,27,27,27,57,62,27,47,62,27,57,72
neuquen,departamento Confluencia,32,32,32,32,42,57,27,42,57,32,42,57
neuquen,departamento Huiliches,32,32,27,27,42,52,32,42,52,27,37,62
neuquen,departamento Lácar,32,32,32,32,42,57,32,42,62,27,42,57
neuquen,departamento Loncopué,42,27,42,42,42,47,27,37,57,42,42,47
neuquen,departamento Los Lagos,42,42,37,27,42,52,32,42,52,27,42,52
neuquen,departamento Minas,42,42,32,42,32,57,42,32,67,27,32,47
neuquen,departamento Ñorquín,32,32,47,37,32,47,27,32,52,37,32,67
neuquen,departamento Pehuenches,42,32,42,22,42,42,27,42,42,22,42,37
neuquen,departamento Picún Leufú,32,32,27,27,42,67,32,42,72,27,42,67
neuquen,departamento Picunches,27,27,27,27,27,62,27,27,62,22,27,62
neuquen,departamento Zapala,32,32,32,32,42,62,32,42,62,32,32,62
rio negro,departamento Adolfo Alsina,42,42,32,27,42,37,27,42,62,22,42,57
rio negro,departamento Avellaneda,22,27,22,22,42,67,27,42,67,22,32,67
rio negro,departamento Bariloche,32,32,32,27,42,57,32,42,57,27,42,57
rio negro,departamento Conesa,27,27,27,27,42,32,27,42,32,27,42,32
rio negro,departamento El Cuy,42,37,42,42,37,52,47,37,47,42,22,52
rio negro,departamento General Roca,32,32,32,27,42,67,27,42,67,22,42,67
rio negro,departamento 9 de Julio,32,32,32,32,27,22,32,37,22,32,52,27
rio negro,departamento Ñorquinco,37,32,37,37,42,22,22,42,22,37,42,57
rio negro,departamento Pichi Mahuida,32,27,32,32,37,67,32,37,67,32,42,67
rio negro,departamento Pilcaniyeu,42,42,47,42,42,57,27,42,57,37,47,47
rio negro,departamento San Antonio,27,42,27,22,42,72,27,42,72,22,42,77
rio negro,departamento Valcheta,22,27,22,22,57,42,27,52,42,22,57,42
rio negro,departamento 25 de Mayo,27,27,27,27,27,57,32,27,57,27,27,27
salta,departamento Anta,27,27,22,22,27,32,27,27,32,22,27,32
salta,departamento Cachi,22,27,22,22,32,47,27,32,42,22,37,47
salta,departamento Cafayate,27,27,27,27,37,37,27,37,37,27,37,62
salta,departamento Capital,27,27,27,27,42,52,27,42,52,22,42,42
salta,departamento Cerrillos,22,22,22,22,42,42,22,42,42,22,42,47
salta,departamento Chicoana,22,22,22,22,27,72,22,27,72,22,37,72
salta,departamento General Güemes,22,27,22,22,42,42,22,42,42,22,27,37
salta,departamento General José de San Martín,22,22,22,22,27,47,22,32,47,22,27,47
salta,departamento Guachipas,22,22,22,22,27,62,22,42,62,22,27,22
salta,departamento Iruya,22,22,22,22,22,32,22,27,32,22,22,37
salta,departamento La Caldera,22,42,22,22,47,47,22,47,42,22,47,47
salta,departamento La Candelaria,22,22,22,22,27,42,22,27,57,22,42,42
salta,departamento La Poma,22,22,22,22,22,42,22,22,0,22,47,42
salta,departamento La Viña,22,22,22,22,27,57,22,27,52,22,22,57
salta,departamento Los Andes,22,22,22,22,32,27,22,32,27,22,37,42
salta,departamento Metán,27,27,22,22,22,27,27,32,27,22,22,27
salta,departamento Molinos,22,22,22,22,47,32,22,47,32,22,42,52
salta,departamento Orán,27,27,22,27,42,57,27,27,52,22,42,57
salta,departamento Rivadavia,22,22,22,22,27,37,22,27,37,22,22,57
salta,departamento Rosario de la Frontera,22,22,22,22,47,37,22,47,37,22,52,47
salta,departamento Rosario de Lerma,22,27,22,22,37,57,22,37,72,22,47,52
salta,departamento San Carlos,27,27,22,27,42,42,27,42,67,22,37,42
salta,departamento Santa Victoria,22,22,22,22,22,42,22,27,42,22,22,22
san juan,departamento Albardón,22,22,22,22,37,37,22,27,77,22,37,52
san juan,departamento Angaco,22,22,22,22,27,72,22,32,72,22,27,37
san juan,departamento Calingasta,27,32,27,27,32,77,27,32,77,27,32,72
san juan,departamento Capital,32,27,32,27,32,32,27,32,27,27,32,32
san juan,departamento Caucete,22,22,22,22,27,72,22,22,72,22,27,72
san juan,departamento Chimbas,22,22,22,22,32,72,22,27,52,22,32,67
san juan,departamento Iglesia,32,32,22,32,47,37,32,47,27,22,52,32
san juan,departamento Jáchal,27,27,27,27,32,37,27,27,47,22,32,37
san juan,departamento 9 de Julio,22,22,22,22,22,27,22,22,27,22,22,27
san juan,departamento Pocito,22,22,22,22,42,32,22,42,32,22,37,32
san juan,departamento Rawson,22,22,22,22,32,72,22,32,72,22,42,72
san juan,departamento Rivadavia,22,22,22,22,42,27,22,42,27,22,37,47
san juan,departamento San Martín,22,22,22,22,32,22,22,32,37,22,32,22
san juan,departamento Santa Lucía,22,42,22,22,42,32,22,42,57,22,42,37
san juan,departamento Sarmiento,22,22,22,22,27,32,22,22,47,22,32,32
san juan,departamento Ullum,22,22,22,22,42,57,22,22,32,22,42,57
san juan,departamento Valle Fértil,27,27,27,27,27,42,27,22,42,27,27,42
san juan,departamento 25 de Mayo,22,22,22,22,27,42,22,22,42,22,27,72
san juan,departamento Zonda,22,22,22,22,42,42,22,32,37,22,42,42
san luis,departamento Ayacucho,27,32,27,22,42,57,22,32,32,22,37,52
san luis,departamento Belgrano,42,22,42,22,42,52,22,37,22,22,42,77
san luis,departamento Chacabuco,27,42,22,27,42,42,27,42,42,22,42,57
san luis,departamento Coronel Pringles,22,22,27,22,42,47,22,47,37,27,42,47
san luis,departamento General Pedernera,22,22,22,22,42,52,22,42,52,22,42,57
san luis,departamento Gobernador Dupuy,22,22,22,22,42,37,22,27,37,22,42,37
san luis,departamento Juan Martín de Pueyrredón,27,27,22,22,42,47,22,42,47,22,42,42
san luis,departamento Junín,42,42,42,22,42,37,22,42,32,22,42,37
san luis,departamento Libertador General San Martín,22,32,22,22,47,47,32,47,52,22,47,47
santa cruz,departamento Corpen Aike,32,32,37,32,32,37,32,32,37,22,37,42
santa cruz,departamento Deseado,32,32,32,22,42,37,32,42,37,22,42,37
santa cruz,departamento Güer Aike,32,32,32,32,42,67,32,42,67,32,42,67
santa cruz,departamento Lago Argentino,42,42,42,22,42,37,32,42,42,22,42,57
santa cruz,departamento Lago Buenos Aires,32,32,32,32,32,57,32,32,57,27,32,42
santa cruz,departamento Magallanes,32,32,27,27,32,52,27,37,52,27,27,27
santa cruz,departamento Río Chico,32,32,37,32,32,37,32,32,37,32,37,37
santa fe,departamento Belgrano,42,42,42,42,42,32,42,42,32,27,42,32
santa fe,departamento Caseros,42,42,42,42,42,37,42,42,37,37,42,37
santa fe,departamento Castellanos,32,32,32,32,42,32,32,37,32,32,42,32
santa fe,departamento Constitución,37,42,37,37,67,27,37,67,42,22,62,27
santa fe,departamento Garay,27,27,27,27,27,42,27,27,27,22,42,42
santa fe,departamento General López,32,32,42,27,47,32,32,47,42,27,42,32
santa fe,departamento General Obligado,27,27,27,27,42,32,27,42,37,22,42,32
santa fe,departamento Iriondo,42,37,42,42,42,32,37,42,32,42,42,27
santa fe,departamento La Capital,22,27,22,22,27,32,27,27,27,22,42,32
santa fe,departamento Las Colonias,22,42,22,22,22,37,42,22,27,22,42,32
santa fe,departamento 9 de Julio,27,27,22,22,42,32,27,42,32,22,37,32
santa fe,departamento Rosario,32,32,32,32,57,27,32,57,22,32,57,32
santa fe,departamento San Cristóbal,27,27,27,27,32,37,27,27,37,27,32,37
santa fe,departamento San Javier,27,27,27,27,42,42,27,42,27,27,42,57
santa fe,departamento San Jerónimo,27,42,27,27,47,47,42,47,47,27,42,37
santa fe,departamento San Justo,27,27,22,27,27,32,27,27,32,22,37,22
santa fe,departamento San Lorenzo,42,42,42,42,42,37,42,42,37,42,42,37
santa fe,departamento San Martín,32,42,32,32,42,27,27,42,37,32,42,27
santa fe,departamento Vera,22,27,22,22,27,27,27,22,72,22,27,57
santiago del estero,departamento Aguirre,22,22,22,22,22,57,22,22,22,22,22,27
santiago del estero,departamento Alberdi,22,22,22,22,32,42,22,32,42,22,32,42
santiago del estero,departamento Atamisqui,22,22,22,22,22,37,22,32,22,22,27,37
santiago del estero,departamento Avellaneda,22,22,22,22,52,57,22,27,22,22,47,57
santiago del estero,departamento Banda,22,22,27,22,42,37,22,42,37,22,42,42
santiago del estero,departamento Belgrano,27,27,27,27,37,57,27,27,22,27,37,52
santiago del estero,departamento Capital,22,27,22,22,42,32,22,32,32,22,42,52
santiago del estero,departamento Choya,22,27,22,22,47,27,27,47,42,22,42,27
santiago del estero,departamento Copo,22,22,22,22,27,27,22,27,32,22,27,27
santiago del estero,departamento Figueroa,22,22,22,22,22,27,27,22,27,22,37,57
santiago del estero,departamento General Taboada,22,22,22,22,27,27,22,27,22,22,37,27
santiago del estero,departamento Guasayán,22,27,22,27,22,32,27,27,32,22,22,67
santiago del estero,departamento Jiménez,27,27,27,27,27,37,27,27,42,27,22,37
santiago del estero,departamento Juan Felipe Ibarra,22,22,22,22,27,32,22,27,47,22,42,32
santiago del estero,departamento Loreto,22,22,22,22,27,42,22,42,52,22,27,22
santiago del estero,departamento Mitre,27,27,27,27,22,0,27,42,0,57,22,0
santiago del estero,departamento Moreno,22,22,22,22,27,32,22,27,32,22,37,62
santiago del estero,departamento Ojo de Agua,22,22,22,22,27,42,22,27,42,22,27,52
santiago del estero,departamento Pellegrini,22,22,22,22,22,37,22,22,42,22,22,37
santiago del estero,departamento Quebrachos,27,22,27,27,27,27,22,22,52,27,27,27
santiago del estero,departamento Río Hondo,22,22,22,22,42,37,22,42,37,22,42,42
santiago del estero,departamento Rivadavia,27,32,22,27,22,32,27,32,32,37,22,57
santiago del estero,departamento Robles,22,22,22,22,42,32,22,27,37,22,22,32
santiago del estero,departamento Salavina,22,22,22,22,27,52,22,27,52,22,27,57
santiago del estero,departamento San Martín,22,22,22,22,32,32,22,32,32,22,37,57
santiago del estero,departamento Sarmiento,22,22,22,22,37,37,22,42,37,22,37,22
santiago del estero,departamento Silípica,22,22,22,22,27,32,22,27,32,22,37,67
tierra del fuego,departamento Río Grande,32,32,32,32,42,62,32,42,57,32,42,67
tierra del fuego,departamento Tolhuin,32,32,27,22,32,62,22,32,42,22,42,67
tierra del fuego,departamento Ushuaia,32,32,32,27,42,57,27,42,57,27,42,32
tucuman,departamento Burruyacú,22,22,22,22,22,27,22,27,52,22,22,27
tucuman,departamento Capital,27,27,27,27,27,52,27,27,52,22,32,32
tucuman,departamento Chicligasta,22,22,22,22,22,52,22,22,57,22,22,52
tucuman,departamento Cruz Alta,22,22,22,22,42,52,22,42,52,22,42,37
tucuman,departamento Famaillá,22,22,22,22,27,52,22,27,57,22,27,52
tucuman,departamento Graneros,22,22,22,22,22,32,22,32,32,22,42,32
tucuman,departamento Juan Bautista Alberdi,27,27,27,27,27,67,22,27,67,27,27,72
tucuman,departamento La Cocha,27,27,27,27,22,62,27,22,52,27,22,62
tucuman,departamento Leales,22,27,22,22,42,27,27,27,27,22,22,22
tucuman,departamento Lules,22,22,22,22,42,47,22,42,47,22,42,37
tucuman,departamento Monteros,22,22,27,22,22,32,22,22,37,27,22,32
tucuman,departamento Río Chico,27,22,27,27,22,27,27,22,22,27,42,27
tucuman,departamento Simoca,22,22,22,22,22,47,22,22,47,22,22,47
tucuman,departamento Tafí del Valle,22,22,22,22,32,32,22,32,32,22,22,42
tucuman,departamento Tafí Viejo,22,22,22,22,47,42,22,47,52,22,47,42
tucuman,departamento Trancas,22,22,22,22,27,42,22,22,42,22,27,47
tucuman,departamento Yerba Buena,22,22,22,22,47,52,22,52,52,22,47,42
